date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:51	52300/52300	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:22:50%20GMT	http://calmglow.egloos.com/4792335	C:/download/egloos/calmglow.egloos.com/4792335.html	(from http://calmglow.egloos.com/)
22:22:51	34398/34398	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:22:50%20GMT	http://calmglow.egloos.com/category/IT	C:/download/egloos/calmglow.egloos.com/category/IT.html	(from http://calmglow.egloos.com/)
22:22:55	110258/110258	---M-Z	200	added ('OK')	application/javascript	etag:%226d7e9e4f583180750b75277784830ccd%22	http://platform.twitter.com/widgets.js	C:/download/egloos/platform.twitter.com/widgets.js	(from http://calmglow.egloos.com/)
22:23:06	137001/137001	---M--	200	added ('OK')	image/jpeg	etag:%22a958ae-21729-4d869e987cf00%22	http://www.heroes-baseball.co.kr/files/player_photo.1/1363849308_player_photo.jpg	C:/download/egloos/www.heroes-baseball.co.kr/files/player_photo.1/1363849308_player_photo.jpg	(from http://calmglow.egloos.com/)
22:23:06	20206/20206	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:04%20GMT	http://calmglow.egloos.com/tag/%ec%9b%b9%ec%95%b1	C:/download/egloos/calmglow.egloos.com/tag/%ec%9b%b9%ec%95%b1.html	(from http://calmglow.egloos.com/)
22:23:07	20194/20194	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:06%20GMT	http://calmglow.egloos.com/tag/webapp	C:/download/egloos/calmglow.egloos.com/tag/webapp.html	(from http://calmglow.egloos.com/)
22:23:07	20191/20191	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:08%20GMT	http://calmglow.egloos.com/tag/html5	C:/download/egloos/calmglow.egloos.com/tag/html5.html	(from http://calmglow.egloos.com/)
22:23:08	36714/36714	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:05%20GMT	http://calmglow.egloos.com/4788689	C:/download/egloos/calmglow.egloos.com/4788689.html	(from http://calmglow.egloos.com/)
22:23:08	35491/35491	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:07%20GMT	http://calmglow.egloos.com/category/Enterprise	C:/download/egloos/calmglow.egloos.com/category/Enterprise.html	(from http://calmglow.egloos.com/)
22:23:11	21368/21368	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Nov%202014%2013:23:16%20GMT	http://www.plasticmobile.com/wp-content/uploads/url.jpeg	C:/download/egloos/www.plasticmobile.com/wp-content/uploads/url.2b.delayed	(from http://calmglow.egloos.com/)
22:23:12	47507/47507	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:10%20GMT	http://calmglow.egloos.com/4786276	C:/download/egloos/calmglow.egloos.com/4786276.html	(from http://calmglow.egloos.com/)
22:23:12	107384/107384	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:12%20GMT	http://calmglow.egloos.com/3943270	C:/download/egloos/calmglow.egloos.com/3943270.html	(from http://calmglow.egloos.com/)
22:23:13	74098/74098	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:12%20GMT	http://calmglow.egloos.com/4783167	C:/download/egloos/calmglow.egloos.com/4783167.html	(from http://calmglow.egloos.com/)
22:23:14	46514/46514	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:11%20GMT	http://calmglow.egloos.com/4782610	C:/download/egloos/calmglow.egloos.com/4782610.html	(from http://calmglow.egloos.com/)
22:23:14	23433/23433	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:14%20GMT	http://calmglow.egloos.com/category/Mobile	C:/download/egloos/calmglow.egloos.com/category/Mobile.html	(from http://calmglow.egloos.com/)
22:23:15	21815/21815	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:15%20GMT	http://calmglow.egloos.com/tag/mwc	C:/download/egloos/calmglow.egloos.com/tag/mwc.html	(from http://calmglow.egloos.com/)
22:23:15	21827/21827	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:14%20GMT	http://calmglow.egloos.com/tag/mwc2013	C:/download/egloos/calmglow.egloos.com/tag/mwc2013.html	(from http://calmglow.egloos.com/)
22:23:16	38362/38362	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:14%20GMT	http://calmglow.egloos.com/4782030	C:/download/egloos/calmglow.egloos.com/4782030.html	(from http://calmglow.egloos.com/)
22:23:17	70177/70177	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:14%20GMT	http://calmglow.egloos.com/page/2	C:/download/egloos/calmglow.egloos.com/page/2.html	(from http://calmglow.egloos.com/)
22:23:17	76250/76250	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:16%20GMT	http://calmglow.egloos.com/page/3	C:/download/egloos/calmglow.egloos.com/page/3.html	(from http://calmglow.egloos.com/)
22:23:18	80565/80565	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:18%20GMT	http://calmglow.egloos.com/page/4	C:/download/egloos/calmglow.egloos.com/page/4.html	(from http://calmglow.egloos.com/)
22:23:19	87231/87231	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:16%20GMT	http://calmglow.egloos.com/page/5	C:/download/egloos/calmglow.egloos.com/page/5.html	(from http://calmglow.egloos.com/)
22:23:20	80861/80861	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:18%20GMT	http://calmglow.egloos.com/page/6	C:/download/egloos/calmglow.egloos.com/page/6.html	(from http://calmglow.egloos.com/)
22:23:21	86765/86765	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:19%20GMT	http://calmglow.egloos.com/page/7	C:/download/egloos/calmglow.egloos.com/page/7.html	(from http://calmglow.egloos.com/)
22:23:21	86925/86925	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:19%20GMT	http://calmglow.egloos.com/page/8	C:/download/egloos/calmglow.egloos.com/page/8.html	(from http://calmglow.egloos.com/)
22:23:22	81494/81494	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:22%20GMT	http://calmglow.egloos.com/page/9	C:/download/egloos/calmglow.egloos.com/page/9.html	(from http://calmglow.egloos.com/)
22:23:23	69441/69441	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:22%20GMT	http://calmglow.egloos.com/page/10	C:/download/egloos/calmglow.egloos.com/page/10.html	(from http://calmglow.egloos.com/)
22:23:24	80355/80355	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:22%20GMT	http://calmglow.egloos.com/page/11	C:/download/egloos/calmglow.egloos.com/page/11.html	(from http://calmglow.egloos.com/)
22:23:33	202046/202046	---M--	200	added ('OK')	image/png	etag:%220%22	http://pds27.egloos.com/pds/201304/11/06/b0015706_5165e47d10449.png	C:/download/egloos/pds27.egloos.com/pds/201304/11/06/b0015706_5165e47d10449.png	(from http://calmglow.egloos.com/)
22:23:33	127/127	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Nov%202013%2006:42:20%20GMT	http://md.egloos.net/img/eg/newsletter_user.gif	C:/download/egloos/md.egloos.net/img/eg/newsletter_user.gif	(from http://calmglow.egloos.com/)
22:23:33	34112/34112	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:33%20GMT	http://calmglow.egloos.com/category/Programming	C:/download/egloos/calmglow.egloos.com/category/Programming.html	(from http://calmglow.egloos.com/)
22:23:34	34969/34969	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:31%20GMT	http://calmglow.egloos.com/category/%20Open%20and%20Social	C:/download/egloos/calmglow.egloos.com/category/%20Open%20and%20Social.html	(from http://calmglow.egloos.com/)
22:23:34	20446/20446	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:33%20GMT	http://calmglow.egloos.com/archives/2013/05	C:/download/egloos/calmglow.egloos.com/archives/2013/05.html	(from http://calmglow.egloos.com/)
22:23:34	20233/20233	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:32%20GMT	http://calmglow.egloos.com/archives/2013/04	C:/download/egloos/calmglow.egloos.com/archives/2013/04.html	(from http://calmglow.egloos.com/)
22:23:35	23480/23480	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:33%20GMT	http://calmglow.egloos.com/archives/2013/03	C:/download/egloos/calmglow.egloos.com/archives/2013/03.html	(from http://calmglow.egloos.com/)
22:23:35	21863/21863	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:33%20GMT	http://calmglow.egloos.com/archives/2013/02	C:/download/egloos/calmglow.egloos.com/archives/2013/02.html	(from http://calmglow.egloos.com/)
22:23:35	20423/20423	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202014%2013:23:36%20GMT	http://calmglow.egloos.com/archives/2012/12	C:/download/egloos/calmglow.egloos.com/archives/2012/12.html	(from http://calmglow.egloos.com/)
